animal_type,age,sex,intake_condition,season,adopted
bird,3,Unknown,injured  severe,Fall,No
cat,12,Male,normal,Winter,No
cat,8,Female,under age/weight,Winter,No
cat,7,Male,under age/weight,Fall,No
cat,10,Neutered,normal,Spring,Yes
cat,5,Neutered,ill mild,Summer,No
cat,7,Male,under age/weight,Spring,No
cat,0,Spayed,under age/weight,Fall,Yes
cat,7,Male,under age/weight,Spring,No
dog,12,Neutered,normal,Spring,No
dog,12,Female,normal,Spring,No
other,6,Unknown,injured  mild,Spring,No
cat,7,Unknown,under age/weight,Summer,No
dog,3,Male,ill mild,Winter,No
cat,7,Male,under age/weight,Fall,No
dog,15,Spayed,normal,Spring,No
Other,6,Unknown,normal,Winter,No
cat,0,Spayed,ill mild,Winter,Yes
cat,0,Male,under age/weight,Fall,No
cat,8,Spayed,normal,Fall,No
cat,0,Male,under age/weight,Fall,No
cat,5,Female,under age/weight,Summer,No
cat,0,Female,under age/weight,Fall,No
other,1,Unknown,injured  severe,Summer,No
cat,2,Male,under age/weight,Summer,No
cat,1,Neutered,normal,Winter,No
cat,2,Female,under age/weight,Summer,No
cat,1,Spayed,normal,Winter,Yes
cat,2,Male,under age/weight,Summer,No
other,1,Unknown,injured  severe,Spring,No
cat,2,Male,under age/weight,Summer,No
dog,7,Neutered,normal,Summer,Yes
cat,5,Female,injured  mild,Summer,No
dog,12,Female,normal,Winter,Yes
cat,1,Female,ill mild,Summer,No
bird,2,Unknown,ill moderatete,Summer,No
cat,2,Male,under age/weight,Fall,No
dog,12,Neutered,normal,Winter,No
cat,2,Spayed,under age/weight,Fall,Yes
dog,13,Spayed,normal,Summer,Yes
cat,2,Spayed,normal,Fall,Yes
cat,5,Spayed,normal,Summer,No
cat,2,Spayed,normal,Summer,Yes
cat,6,Male,under age/weight,Summer,No
cat,5,Male,under age/weight,Fall,No
wild,8,Unknown,under age/weight,Spring,No
cat,5,Spayed,normal,Summer,No
dog,1,Neutered,normal,Spring,Yes
